                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.68285,                0.40304,                0.87041,                0.91305,                0.83654,                0.91024,                0.67525,                0.65296,                0.36961,                0.87057,               0.007162,               0.007162,               0.007162
                     89,                0.67982,                0.40264,                0.86855,                0.90992,                0.83619,                0.90739,                0.67566,                0.65136,                0.36756,                0.86835,               0.007129,               0.007129,               0.007129
                     90,                0.67756,                0.40066,                0.86914,                0.91884,                0.83661,                0.91008,                0.67839,                0.64948,                0.36539,                0.86879,               0.007096,               0.007096,               0.007096
                     91,                 0.6763,                0.39958,                0.86968,                0.92931,                0.82743,                0.90852,                0.67886,                0.64687,                 0.3648,                0.86764,               0.007063,               0.007063,               0.007063
                     92,                0.67503,                0.39839,                0.86886,                0.92061,                0.84011,                0.91127,                0.68115,                0.64733,                0.36363,                0.86755,                0.00703,                0.00703,                0.00703
                     93,                0.67628,                0.39961,                 0.8707,                0.92264,                 0.8399,                0.91331,                0.68056,                0.64703,                 0.3638,                0.86795,               0.006997,               0.006997,               0.006997
                     94,                0.67214,                0.39674,                0.86802,                0.91831,                0.84228,                0.91145,                0.68205,                 0.6456,                0.36162,                0.86777,               0.006964,               0.006964,               0.006964
                     95,                0.66942,                0.39412,                0.86595,                0.92356,                0.83961,                0.91113,                0.68165,                0.64608,                0.36086,                0.86835,               0.006931,               0.006931,               0.006931
                     96,                 0.6685,                0.39477,                0.86697,                0.93525,                0.83387,                0.91471,                0.68245,                0.64669,                0.36169,                0.86914,               0.006898,               0.006898,               0.006898
                     97,                0.66794,                0.39584,                0.86653,                0.91428,                0.84393,                0.91187,                0.68363,                0.64503,                0.36091,                0.86996,               0.006865,               0.006865,               0.006865
                     98,                 0.6598,                0.39023,                0.86421,                0.91802,                0.85149,                0.91454,                0.68228,                0.64378,                0.35941,                0.86971,               0.006832,               0.006832,               0.006832
                     99,                0.66543,                0.39178,                0.86642,                0.92268,                0.84669,                0.91513,                0.68378,                0.64337,                 0.3599,                0.86894,               0.006799,               0.006799,               0.006799
                    100,                0.66958,                0.39379,                0.86717,                 0.9223,                0.85159,                0.91626,                0.68374,                0.64302,                0.35987,                0.86877,               0.006766,               0.006766,               0.006766
                    101,                0.66343,                0.38968,                0.86564,                0.91562,                0.85214,                0.91613,                0.68379,                0.64298,                0.35824,                0.86739,               0.006733,               0.006733,               0.006733
                    102,                0.66236,                0.38897,                0.86531,                0.91803,                0.85088,                0.91619,                0.68331,                0.64337,                0.35838,                0.86783,                 0.0067,                 0.0067,                 0.0067
                    103,                0.65864,                0.39056,                0.86434,                0.92883,                0.84336,                0.91622,                 0.6862,                0.64144,                0.35831,                0.86795,               0.006667,               0.006667,               0.006667
                    104,                0.65788,                0.38653,                0.86407,                0.93335,                 0.8445,                0.91726,                0.68718,                0.64142,                0.35704,                0.86797,               0.006634,               0.006634,               0.006634
                    105,                0.65432,                0.38414,                 0.8622,                0.92794,                0.84228,                0.91678,                0.68659,                0.64094,                0.35735,                0.86797,               0.006601,               0.006601,               0.006601
                    106,                  0.657,                0.38562,                0.86328,                0.93234,                0.83988,                0.91445,                0.68548,                0.64012,                 0.3567,                0.86791,               0.006568,               0.006568,               0.006568
                    107,                0.65378,                0.38651,                0.86214,                0.93082,                 0.8471,                0.91673,                0.68587,                0.63935,                0.35692,                0.86876,               0.006535,               0.006535,               0.006535
                    108,                0.65003,                0.38306,                0.86084,                0.92405,                 0.8467,                 0.9187,                0.68682,                0.63821,                0.35593,                0.86809,               0.006502,               0.006502,               0.006502
                    109,                0.64903,                0.38128,                0.86151,                0.92048,                0.84495,                0.91755,                0.68597,                0.63702,                0.35462,                0.86782,               0.006469,               0.006469,               0.006469
                    110,                0.64962,                0.38201,                0.86116,                0.92115,                0.84271,                0.91634,                0.68477,                0.63612,                 0.3542,                0.86656,               0.006436,               0.006436,               0.006436
                    111,                 0.6496,                0.38229,                0.86138,                0.92642,                0.84083,                0.91696,                0.68682,                 0.6357,                0.35358,                0.86627,               0.006403,               0.006403,               0.006403
                    112,                0.64246,                0.37897,                0.85827,                0.93693,                0.83552,                0.91625,                0.68736,                0.63444,                0.35163,                0.86541,                0.00637,                0.00637,                0.00637
                    113,                0.64097,                 0.3776,                0.85897,                0.93719,                0.83431,                0.91729,                0.68704,                0.63283,                0.35116,                0.86483,               0.006337,               0.006337,               0.006337
                    114,                0.64551,                0.37934,                0.85985,                0.93475,                0.83727,                0.91751,                0.68834,                0.63286,                0.35165,                0.86451,               0.006304,               0.006304,               0.006304
                    115,                0.63786,                0.37578,                0.85808,                0.92681,                0.84345,                0.91746,                0.68921,                0.63192,                0.35046,                0.86416,               0.006271,               0.006271,               0.006271
                    116,                0.63766,                0.37575,                0.85717,                0.92753,                 0.8422,                0.91903,                0.68946,                0.63143,                0.34995,                0.86465,               0.006238,               0.006238,               0.006238
                    117,                0.63788,                0.37467,                0.85847,                0.92232,                0.84675,                0.92009,                0.69199,                0.63059,                 0.3494,                0.86424,               0.006205,               0.006205,               0.006205
                    118,                 0.6331,                0.37424,                0.85717,                0.91311,                0.85417,                 0.9187,                0.69071,                0.62989,                 0.3486,                0.86417,               0.006172,               0.006172,               0.006172
                    119,                0.63545,                0.37524,                0.85926,                0.92398,                 0.8453,                0.91664,                0.68952,                0.62913,                0.34854,                0.86419,               0.006139,               0.006139,               0.006139
                    120,                0.63371,                0.37431,                 0.8587,                 0.9205,                0.85253,                0.91864,                0.69038,                0.62756,                0.34829,                 0.8638,               0.006106,               0.006106,               0.006106
                    121,                0.63357,                0.37404,                0.85834,                0.91712,                0.85451,                 0.9202,                0.69098,                0.62692,                0.34734,                0.86386,               0.006073,               0.006073,               0.006073
                    122,                0.62905,                0.37165,                0.85603,                0.91641,                0.85368,                 0.9206,                0.69192,                0.62643,                 0.3476,                0.86404,                0.00604,                0.00604,                0.00604
                    123,                0.63144,                0.36971,                0.85647,                0.91121,                0.86281,                0.91974,                0.69283,                0.62535,                0.34772,                0.86352,               0.006007,               0.006007,               0.006007
                    124,                0.62887,                0.37075,                0.85614,                0.91945,                0.86147,                0.92174,                0.69419,                0.62412,                0.34627,                0.86326,               0.005974,               0.005974,               0.005974
                    125,                0.62943,                0.36926,                0.85526,                0.91996,                0.86492,                0.92286,                0.69481,                0.62328,                0.34564,                0.86275,               0.005941,               0.005941,               0.005941
                    126,                0.62367,                0.36692,                 0.8546,                0.91507,                0.86294,                0.91889,                0.69541,                0.62235,                0.34493,                0.86245,               0.005908,               0.005908,               0.005908
                    127,                0.62766,                0.37021,                0.85549,                0.92106,                 0.8579,                0.92115,                0.69443,                 0.6215,                0.34525,                0.86279,               0.005875,               0.005875,               0.005875
